[2026-07-01T14:53:28.380Z] GET https://gamgee.io/ → pending (?ms, ?B)
[2026-07-01T14:53:32.289Z] GET https://fonts.googleapis.com/css2?family=Poppins:wght@500;600;700;800&family=Inter:wght@400;500;600&family=DM+Sans:wght@600&display=swap → pending (?ms, ?B)
[2026-07-01T14:53:32.289Z] GET https://gamgee.io/assets/GAMGEE%20images/rose-poster.jpg → 200 (339ms, 260B)
[2026-07-01T14:53:32.292Z] GET https://gamgee.io/assets/Logos/UNSW%20Ramaciotti-logo.png → 200 (337ms, 52493B)
[2026-07-01T14:53:32.292Z] GET https://gamgee.io/assets/Logos/UNSW%20RNA%20Institute.png → 200 (555ms, 22709B)
[2026-07-01T14:53:32.292Z] GET https://gamgee.io/assets/Logos/University%20of%20Queensland.png → 200 (598ms, ?B)
[2026-07-01T14:53:32.292Z] GET https://gamgee.io/assets/GAMGEE%20images/Rosie%20in%20circle.png → 200 (603ms, ?B)
[2026-07-01T14:53:32.292Z] GET https://gamgee.io/assets/LogosMedia/the-australian.png → 200 (397ms, 57262B)
[2026-07-01T14:53:32.292Z] GET https://gamgee.io/assets/LogosMedia/abc-news-australia.png → pending (?ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/unsw-sydney.png → 200 (553ms, 53669B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/fortune.png → pending (?ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/the-scientist.png → pending (?ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/ibtimes-uk.png → 200 (602ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/yahoo-finance.png → 200 (603ms, 2031B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/nbc-news.png → 200 (602ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/the-economic-times.png → 200 (601ms, 9801B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/the-conversation.png → pending (?ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/reason.png → 200 (602ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/dawn.png → 200 (602ms, 5707B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/cancer-health.png → pending (?ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/acs-information-age.png → pending (?ms, ?B)
[2026-07-01T14:53:32.293Z] GET https://gamgee.io/assets/LogosMedia/geo-tv.png → 200 (604ms, ?B)
